StationName,Manufacturer,InstitutionName,Location,Modality,RPDField,Sources
NZCTAWP66502,Siemens,RIH,Hasbro,CT,RPD,
nph1,GE,NH,Main,CT,RPD,
NZCT32268,Siemens,NH,Portsmouth,CT,RPD,
cter,GE,RIH,ED,CT,RPD,
rih1,GE,RIH,Main,CT,RPD,
rih2,GE,RIH,Procedure,CT,StudyDescription,
rzrih3,GE,RIH,MOC,CT,StudyDescription,
CTAWP66457,Siemens,RIH,ED,CT,RPD,
mct0,GE,TMH,Main,CT,RPD,
mzmdct,GE,TMH,MDIC,CT,StudyDescription,
CTAWP66615,Siemens,TMH,ED,CT,RPD,
ID_STATION,Toshiba,TMH,Procedure,CT,RPD,
AWP67050,Siemens,Brown,Research,MR,RPD,
AWP41744,Siemens,RIH,Main,MR,RPD,
MRC30214,Siemens,RIH,Main1,MR,RPD,
MRC40503,Siemens,RIH,Main2,MR,RPD,
1.3.46.670589.28.25912762376,Philips Bi-Plane,RIH,VIR Room 2,XA,RPD,2
64633482,Philips,RIH,VIR Room 3,XA,RPD,
W4A1182121,Toshiba,RIH,VIR Room 1,XA,RPD,
TMH VIR 1,GE,TMH,VIR Room 1,XA,ProcedureDescription,
