AP(cm),ED(cm),Conv16,Conv32
6,5.8,1.5,-1
7,7.3,1.41,-1
8,8.8,1.33,2.68
9,10.2,1.26,2.55
10,11.6,1.19,2.42
11,13,1.13,2.3
12,14.4,1.07,2.18
13,15.7,1.02,2.08
14,17,0.97,1.98
15,18.3,0.92,1.89
16,19.6,0.88,1.81
17,20.8,0.84,1.73
18,22,0.8,1.65
19,23.2,0.76,1.58
20,24.3,0.73,1.52
21,25.5,0.7,1.45
22,26.6,0.67,1.4
23,27.6,0.64,1.34
24,28.7,0.62,1.29
25,29.7,0.59,1.25
26,30.7,0.57,1.2
27,31.6,0.55,1.16
28,32.6,0.53,1.12
29,33.5,0.51,1.08
30,34.4,0.5,1.05
31,34.4,0.48,1.02
32,36,0.46,0.99
33,36.8,0.45,0.96
34,37.6,0.44,0.93
35,38.4,0.42,0.91
36,39.1,0.41,0.88
37,39.8,0.4,0.86
38,40.4,0.39,0.84
39,41.1,0.38,0.82
40,41.7,0.37,0.8
41,42.3,0.36,0.78
42,42.8,0.36,0.77
43,43.4,0.35,0.75
44,43.9,0.34,0.74
45,44.4,0.34,0.73
46,44.8,0.33,-1
47,45.2,0.33,-1
48,45.6,0.32,-1
49,46,0.32,-1
50,46.4,0.31,-1
51,46.7,0.31,-1
52,47,0.3,-1
53,47.2,0.3,-1
54,47.5,0.3,-1
55,47.7,0.3,-1
