ED(cm),Conv16,Conv32
6,1.49,-1
7,1.43,-1
8,1.38,2.76
9,1.32,2.66
10,1.27,2.57
11,1.22,2.47
12,1.18,2.38
13,1.13,2.3
14,1.09,2.22
15,1.05,2.14
16,1.01,2.06
17,0.97,1.98
18,0.93,1.91
19,0.9,1.84
20,0.86,1.78
21,0.83,1.71
22,0.8,1.65
23,0.77,1.59
24,0.74,1.53
25,0.71,1.48
26,0.69,1.43
27,0.66,1.37
28,0.63,1.32
29,0.61,1.28
30,0.59,1.23
31,0.56,1.19
32,0.54,1.14
33,0.52,1.1
34,0.5,1.06
35,0.48,1.02
36,0.47,0.99
37,0.45,0.95
38,0.43,0.92
39,0.41,0.88
40,40,0.85
41,0.38,0.82
42,0.37,0.79
43,0.35,0.76
44,0.34,0.74
45,0.33,0.71
46,0.32,-1
47,0.3,-1
48,0.29,-1
49,0.28,-1
50,0.27,-1
51,0.26,-1
52,0.25,-1
53,0.24,-1
54,0.23,-1
55,0.22,-1
